leaf_id,attempt,candidate_available,mapping_complete,submitted,status,mapping_seconds
L0,0,1,0,0,mapping_rejected:verified_start_outside_static_gini_interval,7.9e-06
L1,0,1,0,0,mapping_rejected:verified_start_outside_static_gini_interval,9e-06
L2,0,1,1,1,rejected_by_native_log,0.0014803
L3,0,1,0,0,mapping_rejected:verified_start_outside_static_gini_interval,6.4e-06
L2,1,0,0,0,not_requested,0
L2.0,0,1,1,1,rejected_by_native_log,0.0007863
L2.1,0,1,0,0,mapping_rejected:verified_start_outside_static_gini_interval,6.4e-06
L2.0,1,0,0,0,not_requested,0
L2.0.0,0,1,0,0,mapping_rejected:verified_start_outside_static_gini_interval,6.6e-06
L2.0.1,0,1,1,1,rejected_by_native_log,0.000781
L2.0.0,1,0,0,0,not_requested,0
L2.0.0.0,0,1,0,0,mapping_rejected:verified_start_outside_static_gini_interval,6.2e-06
L2.0.0.1,0,1,0,0,mapping_rejected:verified_start_outside_static_gini_interval,6.5e-06
L2.0.0.1,1,0,0,0,not_requested,0
L2.0.1,1,0,0,0,not_requested,0
