number,id,arm,path,rows,columns,nonzeros,presolved_rows,presolved_columns,presolved_nonzeros,root_objective,root_iterations,root_seconds
6,D4,off,results\gf_shared_load_time_round64\local_raw\screen_v1\D4\off\native_gurobi.log,4136,1404,19373,3383,1357,21754,0.1078381,1782,0.07
7,D4,q,results\gf_shared_load_time_round64\local_raw\screen_v1\D4\q\native_gurobi.log,4640,1836,21605,3887,1789,23776,0.1189913,2968,0.14
8,D4,t,results\gf_shared_load_time_round64\local_raw\screen_v1\D4\t\native_gurobi.log,4604,1836,21533,3851,1789,23676,0.3019723,3177,0.14
9,D4,sep,results\gf_shared_load_time_round64\local_raw\screen_v1\D4\sep\native_gurobi.log,5144,2268,24233,4391,2221,29446,0.3412508,3727,0.17
10,D4,joint,results\gf_shared_load_time_round64\local_raw\screen_v1\D4\joint\native_gurobi.log,5576,2268,25097,4391,2221,29533,0.3512835,4536,0.23
11,D7,off,results\gf_shared_load_time_round64\local_raw\screen_v1\D7\off\native_gurobi.log,103581,23563,716883,47062,23489,393555,0.1751432,17061,2.02
12,D7,q,results\gf_shared_load_time_round64\local_raw\screen_v1\D7\q\native_gurobi.log,113981,33563,767283,57265,33488,498299,0.1924109,35140,8.03
13,D7,t,results\gf_shared_load_time_round64\local_raw\screen_v1\D7\t\native_gurobi.log,113781,33563,766883,57261,33488,506998,0.1924109,32254,5.6
14,D7,sep,results\gf_shared_load_time_round64\local_raw\screen_v1\D7\sep\native_gurobi.log,124381,43563,827483,67665,43488,543591,0.1924109,116762,46.09
15,D7,joint,results\gf_shared_load_time_round64\local_raw\screen_v1\D7\joint\native_gurobi.log,134381,43563,847483,77665,43488,562865,0.1924109,98580,41.68
18,full_micro,off,results\gf_shared_load_time_round64\local_raw\full_micro_v2\full_micro\off\external\native_logs\L0.0_lp.gurobi.log,214,79,620,53,22,157,,,
18,full_micro,off,results\gf_shared_load_time_round64\local_raw\full_micro_v2\full_micro\off\external\native_logs\L0.1_lp.gurobi.log,214,79,641,74,23,224,,,
18,full_micro,off,results\gf_shared_load_time_round64\local_raw\full_micro_v2\full_micro\off\external\native_logs\L0_c6_1_child_disjunction_target_mip.gurobi.log,214,79,620,7,4,22,,,
18,full_micro,off,results\gf_shared_load_time_round64\local_raw\full_micro_v2\full_micro\off\external\native_logs\L0_lp.gurobi.log,214,79,620,53,22,159,,,
18,full_micro,off,results\gf_shared_load_time_round64\local_raw\full_micro_v2\full_micro\off\external\native_logs\L0_terminal_mip.gurobi.log,214,79,620,7,4,22,,,
19,full_micro,joint,results\gf_shared_load_time_round64\local_raw\full_micro_v2\full_micro\joint\external\native_logs\L0.0_lp.gurobi.log,253,97,745,53,22,157,,,
19,full_micro,joint,results\gf_shared_load_time_round64\local_raw\full_micro_v2\full_micro\joint\external\native_logs\L0.1_lp.gurobi.log,253,97,766,74,23,224,,,
19,full_micro,joint,results\gf_shared_load_time_round64\local_raw\full_micro_v2\full_micro\joint\external\native_logs\L0_c6_1_child_disjunction_target_mip.gurobi.log,253,97,745,7,4,22,,,
19,full_micro,joint,results\gf_shared_load_time_round64\local_raw\full_micro_v2\full_micro\joint\external\native_logs\L0_lp.gurobi.log,253,97,745,53,22,159,,,
19,full_micro,joint,results\gf_shared_load_time_round64\local_raw\full_micro_v2\full_micro\joint\external\native_logs\L0_terminal_mip.gurobi.log,253,97,745,7,4,22,,,
20,warm_micro,warm-joint,results\gf_shared_load_time_round64\local_raw\warm_micro_v3\warm_micro\external\native_logs\L0.0_lp.gurobi.log,253,97,745,,,,,,
20,warm_micro,warm-joint,results\gf_shared_load_time_round64\local_raw\warm_micro_v3\warm_micro\external\native_logs\L0.1.0.0_lp.gurobi.log,253,97,766,,,,,,
20,warm_micro,warm-joint,results\gf_shared_load_time_round64\local_raw\warm_micro_v3\warm_micro\external\native_logs\L0.1.0.1.0.0.0.0_lp.gurobi.log,253,97,766,,,,,,
20,warm_micro,warm-joint,results\gf_shared_load_time_round64\local_raw\warm_micro_v3\warm_micro\external\native_logs\L0.1.0.1.0.0.0.1.0_lp.gurobi.log,253,97,766,,,,,,
20,warm_micro,warm-joint,results\gf_shared_load_time_round64\local_raw\warm_micro_v3\warm_micro\external\native_logs\L0.1.0.1.0.0.0.1.1_lp.gurobi.log,253,97,766,56,16,157,,,
20,warm_micro,warm-joint,results\gf_shared_load_time_round64\local_raw\warm_micro_v3\warm_micro\external\native_logs\L0.1.0.1.0.0.0.1.1_terminal_mip.gurobi.log,253,97,766,,,,,,
20,warm_micro,warm-joint,results\gf_shared_load_time_round64\local_raw\warm_micro_v3\warm_micro\external\native_logs\L0.1.0.1.0.0.0.1_lp.gurobi.log,253,97,766,56,16,157,,,
20,warm_micro,warm-joint,results\gf_shared_load_time_round64\local_raw\warm_micro_v3\warm_micro\external\native_logs\L0.1.0.1.0.0.0_lp.gurobi.log,253,97,766,56,16,157,,,
20,warm_micro,warm-joint,results\gf_shared_load_time_round64\local_raw\warm_micro_v3\warm_micro\external\native_logs\L0.1.0.1.0.0.1_lp.gurobi.log,255,98,763,,,,,,
20,warm_micro,warm-joint,results\gf_shared_load_time_round64\local_raw\warm_micro_v3\warm_micro\external\native_logs\L0.1.0.1.0.0_lp.gurobi.log,253,97,766,56,16,157,,,
20,warm_micro,warm-joint,results\gf_shared_load_time_round64\local_raw\warm_micro_v3\warm_micro\external\native_logs\L0.1.0.1.0.1_lp.gurobi.log,255,98,763,,,,,,
20,warm_micro,warm-joint,results\gf_shared_load_time_round64\local_raw\warm_micro_v3\warm_micro\external\native_logs\L0.1.0.1.0_lp.gurobi.log,253,97,766,56,16,157,,,
20,warm_micro,warm-joint,results\gf_shared_load_time_round64\local_raw\warm_micro_v3\warm_micro\external\native_logs\L0.1.0.1.1_lp.gurobi.log,255,98,763,,,,,,
20,warm_micro,warm-joint,results\gf_shared_load_time_round64\local_raw\warm_micro_v3\warm_micro\external\native_logs\L0.1.0.1_lp.gurobi.log,253,97,766,56,16,157,,,
20,warm_micro,warm-joint,results\gf_shared_load_time_round64\local_raw\warm_micro_v3\warm_micro\external\native_logs\L0.1.0_lp.gurobi.log,253,97,766,56,16,157,,,
20,warm_micro,warm-joint,results\gf_shared_load_time_round64\local_raw\warm_micro_v3\warm_micro\external\native_logs\L0.1.1_lp.gurobi.log,255,98,763,,,,,,
20,warm_micro,warm-joint,results\gf_shared_load_time_round64\local_raw\warm_micro_v3\warm_micro\external\native_logs\L0.1_lp.gurobi.log,253,97,766,55,16,153,,,
20,warm_micro,warm-joint,results\gf_shared_load_time_round64\local_raw\warm_micro_v3\warm_micro\external\native_logs\L0_lp.gurobi.log,253,97,745,41,16,110,,,
21,C2,warm-off,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\C2\warm-off\external\native_logs\L0.0.0_lp.gurobi.log,8663,2402,48694,7485,2310,38823,,,
21,C2,warm-off,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\C2\warm-off\external\native_logs\L0.0.1_lp.gurobi.log,8663,2402,48922,7579,2317,36909,,,
21,C2,warm-off,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\C2\warm-off\external\native_logs\L0.0_c6_1_child_disjunction_target_mip.gurobi.log,8663,2402,48694,7097,2306,62772,0.6075781,1966,0.08
21,C2,warm-off,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\C2\warm-off\external\native_logs\L0.0_lp.gurobi.log,8663,2402,48694,7358,2311,36109,,,
21,C2,warm-off,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\C2\warm-off\external\native_logs\L0.0_terminal_mip.gurobi.log,8663,2402,48694,7097,2306,62772,,,
21,C2,warm-off,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\C2\warm-off\external\native_logs\L0.1_lp.gurobi.log,8663,2402,48922,7547,2334,35878,,,
21,C2,warm-off,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\C2\warm-off\external\native_logs\L0_lp.gurobi.log,8663,2402,48694,7334,2330,35188,,,
22,C2,warm-q,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\C2\warm-q\external\native_logs\L0.0.0_lp.gurobi.log,9543,3202,52774,8365,3110,42899,,,
22,C2,warm-q,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\C2\warm-q\external\native_logs\L0.0.1_lp.gurobi.log,9543,3202,53002,8459,3117,40985,,,
