number,id,arm,path,F,G,P,stations,pickup,drop,maximum_duration,original_T_feasible
6,D4,off,results\gf_shared_load_time_round64\witnesses\6\native_witness.json,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
7,D4,q,results\gf_shared_load_time_round64\witnesses\7\native_witness.json,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
8,D4,t,results\gf_shared_load_time_round64\witnesses\8\native_witness.json,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
9,D4,sep,results\gf_shared_load_time_round64\witnesses\9\native_witness.json,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
10,D4,joint,results\gf_shared_load_time_round64\witnesses\10\native_witness.json,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
11,D7,off,results\gf_shared_load_time_round64\witnesses\11\native_witness.json,0.6712367708118442,0.2800466442302305,2.607934177210758,33,172,149,16734.492570533075,True
12,D7,q,results\gf_shared_load_time_round64\witnesses\12\native_witness.json,0.2844864934664263,0.107472432708607,1.1800937383854622,48,227,227,17971.960530245535,True
13,D7,t,results\gf_shared_load_time_round64\witnesses\13\native_witness.json,0.36502707655351097,0.14661122287073222,1.456105691218525,44,208,199,17847.107915353088,True
14,D7,sep,results\gf_shared_load_time_round64\witnesses\14\native_witness.json,0.40900775659166994,0.14860594133484295,1.7360121017121801,45,220,199,17933.839925074848,True
15,D7,joint,results\gf_shared_load_time_round64\witnesses\15\native_witness.json,0.3455323102814122,0.1439442113038041,1.3439206598507203,46,207,204,17920.494512944642,True
18,full_micro,off,results\gf_shared_load_time_round64\witnesses\18\result.json,0.20833333333333331,0.13333333333333333,0.5,1,1,0,4.0,True
19,full_micro,joint,results\gf_shared_load_time_round64\witnesses\19\result.json,0.20833333333333331,0.13333333333333333,0.5,1,1,0,4.0,True
20,warm_micro,warm-joint,results\gf_shared_load_time_round64\witnesses\20\external\initial_witness.json,0.20833333333333331,0.13333333333333333,0.5,1,1,0,4.0,True
20,warm_micro,warm-joint,results\gf_shared_load_time_round64\witnesses\20\result.json,0.20833333333333331,0.13333333333333333,0.5,1,1,0,4.0,True
21,C2,warm-off,results\gf_shared_load_time_round64\witnesses\21\external\initial_witness.json,0.8299634131717751,0.26521341317177516,3.7649999999999997,5,17,17,1785.7310100703473,True
21,C2,warm-off,results\gf_shared_load_time_round64\witnesses\21\result.json,0.8299634131717751,0.26521341317177516,3.7649999999999997,5,17,17,1785.7310100703473,True
22,C2,warm-q,results\gf_shared_load_time_round64\witnesses\22\external\initial_witness.json,0.8299634131717751,0.26521341317177516,3.7649999999999997,5,17,17,1785.7310100703473,True
22,C2,warm-q,results\gf_shared_load_time_round64\witnesses\22\result.json,0.8299634131717751,0.26521341317177516,3.7649999999999997,5,17,17,1785.7310100703473,True
23,C2,warm-sep,results\gf_shared_load_time_round64\witnesses\23\external\initial_witness.json,0.8299634131717751,0.26521341317177516,3.7649999999999997,5,17,17,1785.7310100703473,True
23,C2,warm-sep,results\gf_shared_load_time_round64\witnesses\23\result.json,0.8299634131717751,0.26521341317177516,3.7649999999999997,5,17,17,1785.7310100703473,True
24,C2,warm-joint,results\gf_shared_load_time_round64\witnesses\24\external\initial_witness.json,0.8299634131717751,0.26521341317177516,3.7649999999999997,5,17,17,1785.7310100703473,True
24,C2,warm-joint,results\gf_shared_load_time_round64\witnesses\24\result.json,0.8299634131717751,0.26521341317177516,3.7649999999999997,5,17,17,1785.7310100703473,True
25,D7,warm-off,results\gf_shared_load_time_round64\witnesses\25\external\initial_witness.json,0.21564407531579494,0.03872267378877319,1.179476010180145,50,228,228,17975.490961810894,True
25,D7,warm-off,results\gf_shared_load_time_round64\witnesses\25\result.json,0.21564407531579494,0.03872267378877319,1.179476010180145,50,228,228,17975.490961810894,True
26,D7,warm-q,results\gf_shared_load_time_round64\witnesses\26\external\initial_witness.json,0.21564407531579494,0.03872267378877319,1.179476010180145,50,228,228,17975.490961810894,True
26,D7,warm-q,results\gf_shared_load_time_round64\witnesses\26\result.json,0.21564407531579494,0.03872267378877319,1.179476010180145,50,228,228,17975.490961810894,True
27,D7,warm-sep,results\gf_shared_load_time_round64\witnesses\27\external\initial_witness.json,0.21564407531579494,0.03872267378877319,1.179476010180145,50,228,228,17975.490961810894,True
27,D7,warm-sep,results\gf_shared_load_time_round64\witnesses\27\result.json,0.21564407531579494,0.03872267378877319,1.179476010180145,50,228,228,17975.490961810894,True
28,D7,warm-joint,results\gf_shared_load_time_round64\witnesses\28\external\initial_witness.json,0.21564407531579494,0.03872267378877319,1.179476010180145,50,228,228,17975.490961810894,True
28,D7,warm-joint,results\gf_shared_load_time_round64\witnesses\28\result.json,0.21564407531579494,0.03872267378877319,1.179476010180145,50,228,228,17975.490961810894,True
