source,instance_name,method,status,method_scope,solves_original_objective,is_bpc,certified_original_problem,verifier_passed,gap,unresolved_intervals,invalid_bound_intervals,open_nodes,audit_passed,failure_count,failures,warnings
results\paper_bpc_core\raw\option_consistency_paper_core.json,gcap_smoke_V4_M1.txt,option-consistency-test,diagnostic_complete,diagnostic,False,False,False,True,1.0,0,0,0,True,0,,
results\paper_bpc_core\raw\option_consistency_paper_core_completion_lb.json,gcap_smoke_V4_M1.txt,option-consistency-test,diagnostic_complete,diagnostic,False,False,False,True,1.0,0,0,0,True,0,,
results\paper_bpc_core\raw\v12_m1_average_core_1200s.json,regen_candidate_V12_M1_average.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.0686586848205,2,0,2,True,0,,
results\paper_bpc_core\raw\v12_m1_average_core_1200s_depth5_default.json,regen_candidate_V12_M1_average.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.0473641299419,3,0,29,True,0,,
results\paper_bpc_core\raw\v12_m1_average_core_1200s_depth6_default.json,regen_candidate_V12_M1_average.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.0344873856805,3,0,4,True,0,,
results\paper_bpc_core\raw\v12_m1_average_core_300s.json,regen_candidate_V12_M1_average.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.248559804329,2,0,5,True,0,,
results\paper_bpc_core\raw\v12_m1_average_core_300s_compat_order.json,regen_candidate_V12_M1_average.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.248559804329,2,0,5,True,0,,
results\paper_bpc_core\raw\v12_m1_average_core_300s_completion_lb.json,regen_candidate_V12_M1_average.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.248559804329,2,0,4,True,0,,
results\paper_bpc_core\raw\v12_m1_average_core_300s_depth5_default.json,regen_candidate_V12_M1_average.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.0473641299419,3,0,3,True,0,,
results\paper_bpc_core\raw\v12_m1_average_core_300s_depth6_default.json,regen_candidate_V12_M1_average.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.0450142629691,3,0,3,True,0,,
results\paper_bpc_core\raw\v12_m1_average_core_300s_depth7_default.json,regen_candidate_V12_M1_average.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.035238862701,3,0,3,True,0,,
results\paper_bpc_core\raw\v12_m1_average_core_300s_depth8_default.json,regen_candidate_V12_M1_average.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.035238862701,3,0,3,True,0,,
results\paper_bpc_core\raw\v12_m1_average_core_300s_label_dominance_trace.json,regen_candidate_V12_M1_average.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.0473641299419,3,0,3,True,0,,
results\paper_bpc_core\raw\v12_m1_average_core_300s_split_before_tree.json,regen_candidate_V12_M1_average.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.0725191208467,3,0,3,True,0,,
results\paper_bpc_core\raw\v12_m1_average_core_300s_split_completion_lb.json,regen_candidate_V12_M1_average.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.0725191208467,3,0,3,True,0,,
results\paper_bpc_core\raw\v12_m1_average_core_300s_split_depth5.json,regen_candidate_V12_M1_average.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.0473641299419,3,0,3,True,0,,
results\paper_bpc_core\raw\v12_m1_average_core_60s.json,regen_candidate_V12_M1_average.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.5,2,0,1,True,0,,
results\paper_bpc_core\raw\v12_m1_average_core_trace_20s.json,regen_candidate_V12_M1_average.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.985569698717,3,0,0,True,0,,
results\paper_bpc_core\raw\v12_m2_average_core_1200s.json,regen_candidate_V12_M2_average.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.347601383495,2,0,12,True,0,,
results\paper_bpc_core\raw\v12_m2_average_core_1200s_depth5_default.json,regen_candidate_V12_M2_average.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.0119964710145,2,0,2,True,0,,
results\paper_bpc_core\raw\v12_m2_average_core_1200s_split_before_tree.json,regen_candidate_V12_M2_average.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.0219359020237,1,0,1,True,0,,
results\paper_bpc_core\raw\v12_m2_average_core_300s.json,regen_candidate_V12_M2_average.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.196789586869,2,0,4,True,0,,
results\paper_bpc_core\raw\v12_m2_average_core_300s_compat_order.json,regen_candidate_V12_M2_average.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.036766938758,2,0,2,True,0,,
results\paper_bpc_core\raw\v12_m2_average_core_300s_completion_lb.json,regen_candidate_V12_M2_average.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.353554166957,2,0,4,True,0,,
results\paper_bpc_core\raw\v12_m2_average_core_300s_depth5_default.json,regen_candidate_V12_M2_average.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.0178909746296,2,0,2,True,0,,
results\paper_bpc_core\raw\v12_m2_average_core_300s_depth6_default.json,regen_candidate_V12_M2_average.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.00747430796209,3,0,3,True,0,,
results\paper_bpc_core\raw\v12_m2_average_core_300s_depth7_default.json,regen_candidate_V12_M2_average.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.00554815393275,3,0,3,True,0,,
results\paper_bpc_core\raw\v12_m2_average_core_300s_depth8_default.json,regen_candidate_V12_M2_average.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.00294398726726,3,0,3,True,0,,
results\paper_bpc_core\raw\v12_m2_average_core_300s_split_before_tree.json,regen_candidate_V12_M2_average.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.0307321294594,2,0,2,True,0,,
results\paper_bpc_core\raw\v12_m2_average_core_300s_split_completion_lb.json,regen_candidate_V12_M2_average.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.0307321294594,2,0,2,True,0,,
results\paper_bpc_core\raw\v12_m2_average_core_300s_split_depth4.json,regen_candidate_V12_M2_average.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.0219359020237,2,0,2,True,0,,
results\paper_bpc_core\raw\v12_m2_average_core_300s_split_depth5.json,regen_candidate_V12_M2_average.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.0178909746296,2,0,2,True,0,,
results\paper_bpc_core\raw\v12_m2_average_core_60s.json,regen_candidate_V12_M2_average.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.5,2,0,1,True,0,,
results\paper_bpc_core\raw\v12_m2_average_core_60s_completion_lb.json,regen_candidate_V12_M2_average.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.5,2,0,1,True,0,,
results\paper_bpc_core\raw\v4_paper_core_compat_order_smoke.json,gcap_smoke_V4_M1.txt,gcap-frontier,optimal,original_bpc,True,True,True,True,0.0,0,0,0,True,0,,
results\paper_bpc_core\raw\v4_paper_core_completion_lb_smoke.json,gcap_smoke_V4_M1.txt,gcap-frontier,optimal,original_bpc,True,True,True,True,0.0,0,0,0,True,0,,
results\paper_bpc_core\raw\v4_paper_core_depth5_smoke.json,gcap_smoke_V4_M1.txt,gcap-frontier,optimal,original_bpc,True,True,True,True,0.0,0,0,0,True,0,,
results\paper_bpc_core\raw\v4_paper_core_depth6_default_smoke.json,gcap_smoke_V4_M1.txt,gcap-frontier,optimal,original_bpc,True,True,True,True,0.0,0,0,0,True,0,,
results\paper_bpc_core\raw\v4_paper_core_depth7_default_smoke.json,gcap_smoke_V4_M1.txt,gcap-frontier,optimal,original_bpc,True,True,True,True,0.0,0,0,0,True,0,,
results\paper_bpc_core\raw\v4_paper_core_depth8_default_smoke.json,gcap_smoke_V4_M1.txt,gcap-frontier,optimal,original_bpc,True,True,True,True,0.0,0,0,0,True,0,,
results\paper_bpc_core\raw\v4_paper_core_label_dominance_trace_smoke.json,gcap_smoke_V4_M1.txt,gcap-frontier,optimal,original_bpc,True,True,True,True,0.0,0,0,0,True,0,,
results\paper_bpc_core\raw\v4_paper_core_smoke.json,gcap_smoke_V4_M1.txt,gcap-frontier,optimal,original_bpc,True,True,True,True,0.0,0,0,0,True,0,,
results\paper_bpc_core\raw\v4_paper_core_split_before_tree_smoke.json,gcap_smoke_V4_M1.txt,gcap-frontier,optimal,original_bpc,True,True,True,True,0.0,0,0,0,True,0,,
results\paper_bpc_core\raw\v8_trace_tree_probe_60s.json,regen_V8_M2_average.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.00595217261352,2,0,9,True,0,,
results\paper_bpc_core\raw\v8_trace_tree_probe_completion_lb_60s.json,regen_V8_M2_average.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.00628928605775,2,0,2,True,0,,
