number,id,arm,kind,paid_wall,startup_wall,initial_UB,startup_witness_scope,final_UB,global_LB,certificate,total_HGA_generations,uncached_decoder_calls,descent_complete,completed_seeds,descent_passes,descent_checks_including_cache_hits,initial_route_sha256,result_sha256
1,micro,P-GRB,native-micro,0.04699999978765845,0,,Initial exact-phase witness when present,0.20833333333333331,0.20833333333333331,True,0,0,False,0,0,0,,a341c2cdfb7ef24426103c8e6f93c07dec066d69f9d1ad62017d932491f87e17
2,micro,VD-S,native-micro,0.125,0.0633779,0.20833333333333331,Initial exact-phase witness when present,0.20833333333333331,0.20833333333333331,True,2000,5,False,0,0,0,5c762d49d658325fad3a197761f4623c26cffa0d93b2300777fe0972b4b2238f,ae2f94ee7a0e77501ac94de65c60a3e006844fc98bdee6b6d8d68d9fd400b45f
3,micro,DS,native-micro,0.04600000008940697,0.0012877,0.20833333333333331,Initial exact-phase witness when present,0.20833333333333331,0.20833333333333331,True,0,5,True,24,38,41,5c762d49d658325fad3a197761f4623c26cffa0d93b2300777fe0972b4b2238f,37cbd70b70b39496134b2c824ad78c7e97f2e7d5082cf0b4adf14451de7a8582
4,micro-zero,P-GRB,native-micro,0.04700000025331974,0,,Initial exact-phase witness when present,0.20833333333333331,0.20833333333333331,True,0,0,False,0,0,0,,2bfb09119b774b566b0cc41a494a10e1cce0b94f04b282794d89cbf5dac5edbe
5,micro-zero,VD-S,native-micro,0.3119999999180436,0.0676642,0.20833333333333331,Initial exact-phase witness when present,0.20833333333333331,0.20833333333333331,True,2000,2,False,0,0,0,5c762d49d658325fad3a197761f4623c26cffa0d93b2300777fe0972b4b2238f,d23c6f40c0c57c14d96c028ba85aa8ed70e954cc025c8ffc35abc41ba2e0e0c3
6,micro-zero,DS,native-micro,0.23399999970570207,0.0009098,0.20833333333333331,Initial exact-phase witness when present,0.20833333333333331,0.20833333333333331,True,0,2,True,24,38,28,5c762d49d658325fad3a197761f4623c26cffa0d93b2300777fe0972b4b2238f,2cb7d6058f59296e8cf1396da3667f771d6d195ef2586235ea89ee1ee7834562
7,E7,P-GRB,performance,1.2820000001229346,0,,Initial exact-phase witness when present,0.020382503842219304,0.02038250384221927,True,0,0,False,0,0,0,,bb45d2ce0506fd9d25aed388035b98cbaa75ca3eb0d3a869ddc6a2f477d79214
8,E7,VD-S,performance,5.609999999869615,4.3194999,0.020382503842219304,Initial exact-phase witness when present,0.020382503842219304,0.020382503842219304,True,2027,20322,False,0,0,0,935bc9e637f558b8735b0b116a29b88eef489fe7a5feda4dcd50a7a3da730ab4,ca4430186191af7ebfa3cdef692864249837ac289dc32a22dace7f1dd214c48a
9,E7,DS,performance,1.1559999999590218,0.0189329,0.020865507671712715,Initial exact-phase witness when present,0.020382503842219304,0.02038250384221927,True,0,110,True,24,48,92,8d8caefb3fd7748ea70355aa07d9c3c51d782a8ab1e6386b4bd2a2e3141bd364,c27730e831f858fc0b8c545dc19f21a81c0312cce4d17b29c90ebe3fd26abbec
10,S12,P-GRB,performance,5.186999999918044,0,,Initial exact-phase witness when present,0.05856397312578516,0.05856397312578512,True,0,0,False,0,0,0,,4a33e9a5973c266378179ea5cc5e5cce1dc9bd5b7035d88185c10edd23610cbd
11,S12,VD-S,performance,39.186999999918044,37.9111059,0.05856397312578515,Initial exact-phase witness when present,0.05856397312578515,0.05856397312578488,True,2153,13826,False,0,0,0,74ab415854037c22803a31d09fc980cf89b35cf92a54739f97dc405eb81e4d2f,422cac28e37daeb39ce497d5447a393b50c39c53543e85c508614529a3ff5d73
12,S12,DS,performance,2.094000000040978,0.3413951,0.10798673648880089,Initial exact-phase witness when present,0.05856397312578515,0.058563973125785096,True,0,247,True,24,92,224,488f35126637c9f0be9e3b90e6a5f77542dc42b2b11103776bba0ae0f2c26ee6,0d396e38e7e5e28dc72693bb11fd50a9c161739173208c357641a0f0b81f10b2
13,N12,P-GRB,performance,3.8909999998286366,0,,Initial exact-phase witness when present,0.8046255197202796,0.8046255197202797,True,0,0,False,0,0,0,,f5d0b8c83172576f3a9f3974b644cc34b3473e34ecb5a93c706294d385af5557
14,N12,VD-S,performance,3.640000000130385,1.7390122,0.8162382059163058,Initial exact-phase witness when present,0.8046255197202796,0.8046255197202788,True,2503,8076,False,0,0,0,12017ec03494b64f5650580d897384faa4485f58880afbeff6017ad65449040a,a1055a7443e2c51a710f2c88700c1f695fe9c419846d9a4b8c446cd03f82ab56
15,N12,DS,performance,1.4530000002123415,0.0156976,0.9195880914082921,Initial exact-phase witness when present,0.8046255197202796,0.8046255197202777,True,0,181,True,24,65,186,d48f761cb6f95dc78b033e67067478674f1884d56fd835ff746f1a55de47a7c4,526ae328edb209af4e059dfeb61b4accd3b34eb9ef822600cf1ca5e1adb1037a
16,D3,P-GRB,performance,297.06300000008196,0,,Initial exact-phase witness when present,0.04505416158053462,0.04157830842097824,False,0,0,False,0,0,0,,4358c77a72fe30d2fdd121a0073df03265b4a81d5b6ff6b34d48821c7e486647
17,D3,VD-S,performance,84.18699999991804,2.0600967,0.049468682614419446,Initial exact-phase witness when present,0.04500155005562836,0.04500155005562828,True,2129,12574,False,0,0,0,8e5ad23a6d49751f6075835041b23d09a4cb3902d9b236fd429c9f456345a1c4,5e4175613df2fa1a598d1fc85e0de9d9f1e9c98c55216ba1fc24278dfe823fc4
18,D3,DS,performance,297.06300000008196,0.0178427,0.16637611211610104,Initial exact-phase witness when present,0.04500155005562836,0.04322019484566408,False,0,159,True,24,61,153,39031f1de4db4596c6e5ed72cebb750ae6bb548a54175265f2c2f244f15c2747,a0cf1b520aadabbbf98015a24196d1b811090470967073d10e4ae454f082c4a4
