number,id,arm,stage,kind,input_sha256,V,M,Q,T,executable_sha256,cap,wall,internal_wall,certificate,status,UB,LB,signed_absolute_gap,relative_gap,gap_note,hga_seconds,exact_start,initial_objective,initial_route_signature,lp_calls,mip_calls,splits,failure,result_sha256,artifact_dir
1,micro,P-GRB,correctness,native-micro,8794991888f65387b21ae457635e32eed7a4072e837cf8e06b17f3c9751dcd16,3,1,3,5,2e841e23cdbc81f71b9373f35b7c82494223a7ecfbb670bcdc33f7ec2b66e6f3,30,0.04699999978765845,0.0155514,True,optimal,0.20833333333333331,0.20833333333333331,0.0,0.0,within numerical tolerance,0,,,,0,1,0,False,a341c2cdfb7ef24426103c8e6f93c07dec066d69f9d1ad62017d932491f87e17,results\unified_exact_round70\revision2\local_raw\correctness\micro\P-GRB
2,micro,VD-S,correctness,native-micro,8794991888f65387b21ae457635e32eed7a4072e837cf8e06b17f3c9751dcd16,3,1,3,5,2e841e23cdbc81f71b9373f35b7c82494223a7ecfbb670bcdc33f7ec2b66e6f3,30,0.125,0.0921545,True,optimal,0.20833333333333331,0.20833333333333331,0.0,0.0,within numerical tolerance,0.0633779,0.0662176,0.20833333333333331,bb85fcdc596864f9e3dff7ce5d4527670c50043e709097a3e2fad768f6137b42,1,0,0,False,ae2f94ee7a0e77501ac94de65c60a3e006844fc98bdee6b6d8d68d9fd400b45f,results\unified_exact_round70\revision2\local_raw\correctness\micro\VD-S
3,micro,DS,correctness,native-micro,8794991888f65387b21ae457635e32eed7a4072e837cf8e06b17f3c9751dcd16,3,1,3,5,2e841e23cdbc81f71b9373f35b7c82494223a7ecfbb670bcdc33f7ec2b66e6f3,30,0.04600000008940697,0.026643,True,optimal,0.20833333333333331,0.20833333333333331,0.0,0.0,within numerical tolerance,0.0012877,0.0042216,0.20833333333333331,bb85fcdc596864f9e3dff7ce5d4527670c50043e709097a3e2fad768f6137b42,1,0,0,False,37cbd70b70b39496134b2c824ad78c7e97f2e7d5082cf0b4adf14451de7a8582,results\unified_exact_round70\revision2\local_raw\correctness\micro\DS
4,micro-zero,P-GRB,correctness,native-micro,8794991888f65387b21ae457635e32eed7a4072e837cf8e06b17f3c9751dcd16,3,1,3,3,2e841e23cdbc81f71b9373f35b7c82494223a7ecfbb670bcdc33f7ec2b66e6f3,30,0.04700000025331974,0.0160552,True,optimal,0.20833333333333331,0.20833333333333331,0.0,0.0,within numerical tolerance,0,,,,0,1,0,False,2bfb09119b774b566b0cc41a494a10e1cce0b94f04b282794d89cbf5dac5edbe,results\unified_exact_round70\revision2\local_raw\correctness\micro-zero\P-GRB
5,micro-zero,VD-S,correctness,native-micro,8794991888f65387b21ae457635e32eed7a4072e837cf8e06b17f3c9751dcd16,3,1,3,3,2e841e23cdbc81f71b9373f35b7c82494223a7ecfbb670bcdc33f7ec2b66e6f3,30,0.3119999999180436,0.2847466,True,optimal,0.20833333333333331,0.20833333333333331,0.0,0.0,within numerical tolerance,0.0676642,0.0739103,0.20833333333333331,bb85fcdc596864f9e3dff7ce5d4527670c50043e709097a3e2fad768f6137b42,17,1,8,False,d23c6f40c0c57c14d96c028ba85aa8ed70e954cc025c8ffc35abc41ba2e0e0c3,results\unified_exact_round70\revision2\local_raw\correctness\micro-zero\VD-S
6,micro-zero,DS,correctness,native-micro,8794991888f65387b21ae457635e32eed7a4072e837cf8e06b17f3c9751dcd16,3,1,3,3,2e841e23cdbc81f71b9373f35b7c82494223a7ecfbb670bcdc33f7ec2b66e6f3,30,0.23399999970570207,0.2128981,True,optimal,0.20833333333333331,0.20833333333333331,0.0,0.0,within numerical tolerance,0.0009098,0.0036492,0.20833333333333331,bb85fcdc596864f9e3dff7ce5d4527670c50043e709097a3e2fad768f6137b42,17,1,8,False,2cb7d6058f59296e8cf1396da3667f771d6d195ef2586235ea89ee1ee7834562,results\unified_exact_round70\revision2\local_raw\correctness\micro-zero\DS
7,E7,P-GRB,development,performance,7171ea93b94f8e17cb61ecda9621d1bc1886cae3657dc8d11c967cd53e5189c2,12,2,30,3600,2e841e23cdbc81f71b9373f35b7c82494223a7ecfbb670bcdc33f7ec2b66e6f3,120,1.2820000001229346,1.2636042,True,optimal,0.020382503842219304,0.02038250384221927,3.469446951953614e-17,1.7021691637153893e-15,within numerical tolerance,0,,,,0,1,0,False,bb45d2ce0506fd9d25aed388035b98cbaa75ca3eb0d3a869ddc6a2f477d79214,results\unified_exact_round70\revision2\local_raw\development\E7\P-GRB
8,E7,VD-S,development,performance,7171ea93b94f8e17cb61ecda9621d1bc1886cae3657dc8d11c967cd53e5189c2,12,2,30,3600,2e841e23cdbc81f71b9373f35b7c82494223a7ecfbb670bcdc33f7ec2b66e6f3,120,5.609999999869615,5.5682213,True,optimal,0.020382503842219304,0.020382503842219304,0.0,0.0,within numerical tolerance,4.3194999,4.3248212,0.020382503842219304,1f124f95304a91a486f1144464755d7c69180fa7b9b6dc830f13820fce6ba492,3,1,0,False,ca4430186191af7ebfa3cdef692864249837ac289dc32a22dace7f1dd214c48a,results\unified_exact_round70\revision2\local_raw\development\E7\VD-S
9,E7,DS,development,performance,7171ea93b94f8e17cb61ecda9621d1bc1886cae3657dc8d11c967cd53e5189c2,12,2,30,3600,2e841e23cdbc81f71b9373f35b7c82494223a7ecfbb670bcdc33f7ec2b66e6f3,120,1.1559999999590218,1.1402314,True,optimal,0.020382503842219304,0.02038250384221927,3.469446951953614e-17,1.7021691637153893e-15,within numerical tolerance,0.0189329,0.0218248,0.020865507671712715,ac483ba9b4f1ffb14f9f7ad3a2edb67892d7edcfe5f04dedbec8c55a211cb17b,3,1,0,False,c27730e831f858fc0b8c545dc19f21a81c0312cce4d17b29c90ebe3fd26abbec,results\unified_exact_round70\revision2\local_raw\development\E7\DS
10,S12,P-GRB,development,performance,060ee6366b2277c8427675e1a1484de7db10d2ef82a64d4e2ffa6e4695b7b626,12,1,30,10800,2e841e23cdbc81f71b9373f35b7c82494223a7ecfbb670bcdc33f7ec2b66e6f3,120,5.186999999918044,5.1561155,True,optimal,0.05856397312578516,0.05856397312578512,4.163336342344337e-17,7.109040114819771e-16,within numerical tolerance,0,,,,0,1,0,False,4a33e9a5973c266378179ea5cc5e5cce1dc9bd5b7035d88185c10edd23610cbd,results\unified_exact_round70\revision2\local_raw\development\S12\P-GRB
