leaf_id,parent_id,depth,child_index,gamma_L,gamma_U,base_lower_bound,lower_bound,status,lp_complete,lp_optimal,lp_infeasible,lp_bound,terminal_mip_started,c6_native_phase_count,c6_frontier_milestone_reached,c6_children_ready,closure_source,lower_bound_sources
L0,"",0,-1,0,0.23749999999999999,0,4.3569241126055891,empty,1,0,1,0,0,0,0,0,"complete_parent_lp_infeasible","objective_nonnegative_penalty_G_floor"
L1,"",0,-1,0.23749999999999999,0.47499999999999998,0.23749999999999999,4.3569241126055891,empty,1,0,1,0,0,0,0,0,"complete_parent_lp_infeasible","objective_nonnegative_penalty_G_floor"
L2,"",0,-1,0.47499999999999998,0.71249999999999991,0.47499999999999998,4.2430945553030863,replaced,1,1,0,4.2430945553030863,0,0,0,0,"","objective_nonnegative_penalty_G_floor;optimal_complete_lp_relaxation"
L3,"",0,-1,0.71249999999999991,0.94999999999999996,0.71249999999999991,4.3029840799645553,replaced,1,1,0,4.3029840799645553,0,0,0,0,"","objective_nonnegative_penalty_G_floor;optimal_complete_lp_relaxation"
L2.0,"L2",1,0,0.47499999999999998,0.59375,4.2430945553030863,4.3569241126055891,empty,1,0,1,0,0,0,0,0,"complete_child_lp_infeasible","inherited_parent_lp_bound"
L2.1,"L2",1,1,0.59375,0.71249999999999991,4.2732934103796625,4.2732934103796625,replaced,1,1,0,4.2732934103796625,0,0,0,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L3.0,"L3",1,0,0.71249999999999991,0.83124999999999993,4.3029840799645553,4.3029840799645553,replaced,1,1,0,4.3029840799645553,0,0,0,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L3.1,"L3",1,1,0.83124999999999993,0.94999999999999996,4.3029840799645553,4.3569241126055891,empty,1,0,1,0,0,0,0,0,"complete_child_lp_infeasible","inherited_parent_lp_bound"
L2.1.0,"L2.1",2,0,0.59375,0.65312499999999996,4.2732934103796625,4.3569241126055891,empty,1,0,1,0,0,0,0,0,"complete_child_lp_infeasible","inherited_parent_lp_bound"
L2.1.1,"L2.1",2,1,0.65312499999999996,0.71249999999999991,4.2894127691339081,4.2894127691339081,replaced,1,1,0,4.2894127691339081,0,0,0,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L2.1.1.0,"L2.1.1",3,0,0.65312499999999996,0.68281249999999993,4.2894127691339081,4.3569241126055891,empty,1,0,1,0,0,0,0,0,"complete_child_lp_infeasible","inherited_parent_lp_bound"
L2.1.1.1,"L2.1.1",3,1,0.68281249999999993,0.71249999999999991,4.2982055654053193,4.2982055654053193,replaced,1,1,0,4.2982055654053193,0,0,0,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L2.1.1.1.0,"L2.1.1.1",4,0,0.68281249999999993,0.69765624999999987,4.2982055654053193,4.3569241126055891,empty,1,0,1,0,0,0,0,0,"complete_child_lp_infeasible","inherited_parent_lp_bound"
L2.1.1.1.1,"L2.1.1.1",4,1,0.69765624999999987,0.71249999999999991,4.3035334412054373,4.3035334412054373,replaced,1,1,0,4.3035334412054373,0,0,0,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L3.0.0,"L3.0",2,0,0.71249999999999991,0.77187499999999987,4.3029840799645553,4.3569241126055918,closed,1,1,0,4.3029840799645553,1,0,0,0,"native_terminal_mip_optimal","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;native_terminal_mip_bound"
L3.0.1,"L3.0",2,1,0.77187499999999987,0.83124999999999993,4.3029840799645553,4.3569241126055891,empty,1,0,1,0,0,0,0,0,"complete_child_lp_infeasible","inherited_parent_lp_bound"
L2.1.1.1.1.0,"L2.1.1.1.1",5,0,0.69765624999999987,0.70507812499999989,4.3035334412054373,4.3569241126055891,empty,1,0,1,0,0,0,0,0,"complete_child_lp_infeasible","inherited_parent_lp_bound"
L2.1.1.1.1.1,"L2.1.1.1.1",5,1,0.70507812499999989,0.71249999999999991,4.3066164166855376,4.3066164166855376,replaced,1,1,0,4.3066164166855376,0,0,0,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L2.1.1.1.1.1.0,"L2.1.1.1.1.1",6,0,0.70507812499999989,0.70878906249999996,4.3066164166855376,4.3569241126055891,empty,1,0,1,0,0,0,0,0,"complete_child_lp_infeasible","inherited_parent_lp_bound"
L2.1.1.1.1.1.1,"L2.1.1.1.1.1",6,1,0.70878906249999996,0.71249999999999991,4.3081716530717138,4.3081716530717138,replaced,1,1,0,4.3081716530717138,0,0,0,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L2.1.1.1.1.1.1.0,"L2.1.1.1.1.1.1",7,0,0.70878906249999996,0.71064453124999993,4.3104562316499502,1e+100,empty,1,1,0,4.3104562316499502,0,0,0,0,"c5_partial_phase_native_infeasible","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;valid_partial_native_mip_bound"
L2.1.1.1.1.1.1.1,"L2.1.1.1.1.1.1",7,1,0.71064453124999993,0.71249999999999991,4.3089504668566549,1e+100,empty,1,1,0,4.3089504668566549,0,0,0,0,"c5_partial_phase_native_infeasible","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;valid_partial_native_mip_bound"
