number,id,arm,path,sha256,F,G,P,stations,pickup,drop,maximum_duration,original_T_feasible
6,D4,off,results\gf_cumulative_time_resource_round63\local_raw\screen_v1\D4\off\native_witness.json,77227b8c60896e2364ef79f1b85a31fca85c07ad65e200205f1b6b11125559ac,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
7,D4,explicit,results\gf_cumulative_time_resource_round63\local_raw\screen_v1\D4\explicit\native_witness.json,b93b287642701c604b9651835a7c1bca08d1e55bc2a27465cec7bbedf72c3764,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
8,D4,simple,results\gf_cumulative_time_resource_round63\local_raw\screen_v1\D4\simple\native_witness.json,5a619ec748ae2a31f834cd82d44f19dc323423f957e5e930cd774b644abdcf6b,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
9,D4,precrush,results\gf_cumulative_time_resource_round63\local_raw\screen_v1\D4\precrush\native_witness.json,77227b8c60896e2364ef79f1b85a31fca85c07ad65e200205f1b6b11125559ac,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
10,D4,dry,results\gf_cumulative_time_resource_round63\local_raw\screen_v1\D4\dry\native_witness.json,77227b8c60896e2364ef79f1b85a31fca85c07ad65e200205f1b6b11125559ac,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
11,D4,cuts,results\gf_cumulative_time_resource_round63\local_raw\screen_v1\D4\cuts\native_witness.json,b93b287642701c604b9651835a7c1bca08d1e55bc2a27465cec7bbedf72c3764,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
12,D7,off,results\gf_cumulative_time_resource_round63\local_raw\screen_v1\D7\off\native_witness.json,ee51ee59272e0347bdfbfb9113bb507e81e9ee22e4179e14acf3745cfe345c1c,0.6712367708118442,0.2800466442302305,2.607934177210758,33,172,149,16734.492570533075,True
13,D7,explicit,results\gf_cumulative_time_resource_round63\local_raw\screen_v1\D7\explicit\native_witness.json,c89c9788ede3a289cef1f4d74149b9b3b631ca42ba5324777bc9c47a192e10df,0.36502707655351097,0.14661122287073222,1.456105691218525,44,208,199,17847.107915353088,True
14,D7,simple,results\gf_cumulative_time_resource_round63\local_raw\screen_v1\D7\simple\native_witness.json,59c4d63d9b3c6dbc19a7136ad7015fa3ba0786c1220eadcdf084823b3657621e,0.7097967772864047,0.2640264048403146,2.9718024829739345,41,152,142,17971.54138220702,True
15,D7,precrush,results\gf_cumulative_time_resource_round63\local_raw\screen_v1\D7\precrush\native_witness.json,131cb92831dd164d787ae383e7ab021bebe33053ca62c36cfb01b72a5385504e,0.5063391537494681,0.19796120509029197,2.0558529910611747,46,189,172,17983.313563644486,True
